Taxon,lon,lat,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Lactuca_acanthifolia,25.3833,35.0667,149,63,31,5195,257,55,202,88,217,217,86,827,177,2,85,446,15,15,389
Lactuca_acanthifolia,26.2167,35.1,181,58,30,4956,280,89,191,123,245,245,120,611,134,1,89,336,5,5,290
Lactuca_acanthifolia,25.85,35.1167,167,59,30,5050,269,74,195,107,232,232,105,646,140,1,86,350,8,8,301
Lactuca_acanthifolia,24.3333,35.3167,179,71,33,5272,294,81,213,116,248,248,115,846,169,2,85,458,12,12,415
Lactuca_acanthifolia,25.0667,35.3333,188,57,29,5061,289,97,192,129,255,255,126,567,110,1,79,285,6,6,259
Lactuca_acanthifolia,27.2,35.55,179,63,30,5242,287,82,205,117,246,247,115,719,173,1,96,422,5,13,348
Lactuca_acanthifolia,24.15,35.5833,179,71,33,5358,296,81,215,115,249,249,115,658,121,1,85,346,6,6,312
Lactuca_acanthifolia,28.0833,36.0667,187,70,32,5477,302,86,216,138,258,258,122,864,216,0,102,545,3,13,404
Lactuca_acanthifolia,28.0667,36.0667,187,70,32,5477,302,86,216,138,258,258,122,864,216,0,102,545,3,13,404
Lactuca_acanthifolia,28.0833,36.0833,187,70,32,5477,302,86,216,138,258,258,122,864,216,0,102,545,3,13,404
Lactuca_acanthifolia,27.7667,36.1333,172,73,32,5734,295,68,227,120,246,246,103,870,212,1,98,527,7,7,413
Lactuca_acanthifolia,27.75,36.1333,177,71,31,5658,297,74,223,126,250,250,110,848,208,1,99,517,6,6,402
Lactuca_acanthifolia,28.1,36.15,190,70,32,5487,305,88,217,140,261,261,125,868,217,0,102,551,3,13,403
Lactuca_acanthifolia,27.8667,36.1667,148,81,32,6048,284,38,246,76,227,227,76,939,219,3,94,555,15,15,555
Lactuca_acanthifolia,27.8667,36.2,148,81,32,6048,284,38,246,76,227,227,76,939,219,3,94,555,15,15,555
Lactuca_acanthifolia,28.1333,36.2,186,72,32,5563,304,83,221,136,258,258,120,891,222,0,102,564,4,14,414
Lactuca_acanthifolia,28.1,36.2,183,73,32,5626,302,79,223,131,255,255,116,897,222,1,101,562,6,6,417
Lactuca_acanthifolia,27.8833,36.2167,171,75,32,5808,296,66,230,118,246,246,102,900,219,1,98,548,7,7,424
Lactuca_acanthifolia,27.595278,36.22222,185,70,31,5583,304,83,221,134,257,257,118,808,199,0,99,492,4,4,385
Lactuca_acanthifolia,28.15,36.25,185,73,32,5609,304,82,222,134,258,258,119,898,223,1,102,567,5,16,416
Lactuca_acanthifolia,27.95,36.2667,168,77,32,5886,297,61,236,114,244,244,98,919,221,2,98,555,10,10,547
Lactuca_acanthifolia,28.0333,36.2667,175,75,32,5810,300,69,231,121,250,250,106,913,223,1,99,563,7,7,545
Lactuca_acanthifolia,27.9333,36.2833,168,77,32,5886,297,61,236,114,244,244,98,919,221,2,98,555,10,10,547
Lactuca_acanthifolia,28.2167,36.3833,187,77,33,5691,310,80,230,134,260,260,119,924,226,1,100,581,6,6,551
Lactuca_acanthifolia,26.35,36.5333,185,64,30,5246,295,88,207,123,252,252,120,586,130,0,91,336,3,3,287
Lactuca_acanthifolia,24.4167,36.75,182,57,29,5175,287,91,196,136,249,249,119,409,84,0,83,222,2,2,171
Lactuca_acanthifolia,26.0333,36.9,161,65,30,5324,274,64,210,97,229,229,95,614,129,1,85,343,9,9,297
Lactuca_acanthifolia,22.4,37.4833,134,112,39,6009,294,12,282,76,213,213,61,800,142,12,65,379,48,48,358
Lactuca_acanthifolia,22.8333,37.5667,174,99,37,5966,323,56,267,118,253,253,102,591,109,6,69,286,23,23,262
Lactuca_acanthifolia,26.4833,37.5833,176,77,32,5716,308,71,237,108,251,251,107,657,144,1,92,384,6,6,317
Lactuca_acanthifolia,23.05,37.8,154,100,35,6313,311,33,278,93,237,237,78,613,106,9,62,279,35,35,264
Lactuca_acanthifolia,23.9667,37.8667,170,78,31,6213,310,59,251,112,251,251,95,446,80,5,68,210,18,18,200
Lactuca_acanthifolia,23,37.9833,163,101,36,6334,320,41,279,102,247,247,87,605,104,9,62,272,35,35,257
