Taxon,lon,lat,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Lactuca_georgica,55.9333,37.3167,122,132,35,8785,317,-55,372,116,225,233,7,230,41,3,67,113,12,15,73
Lactuca_georgica,46.3669,38.99,108,108,30,8514,294,-57,351,97,212,214,-4,423,72,17,45,176,58,82,75
Lactuca_georgica,46.3672,39.0183,69,111,31,8241,254,-94,348,103,170,171,-39,473,82,23,48,202,70,101,77
Lactuca_georgica,46.4964,39.0806,108,106,30,8388,292,-54,346,147,210,213,-2,444,75,20,44,184,65,91,76
Lactuca_georgica,46.1736,39.0911,52,112,32,8163,237,-110,347,85,153,153,-55,478,84,22,49,206,72,72,76
Lactuca_georgica,46.1686,39.0942,52,112,32,8163,237,-110,347,85,153,153,-55,478,84,22,49,206,72,72,76
Lactuca_georgica,46.4417,39.3392,98,103,30,8212,275,-61,336,135,-10,200,-10,563,91,25,44,234,88,135,88
Lactuca_georgica,46.3917,39.3942,97,104,30,8194,274,-62,336,135,-11,199,-11,575,92,25,44,239,89,140,89
Lactuca_georgica,46.3267,39.5036,79,105,31,8057,255,-79,334,115,-26,179,-26,586,96,24,45,247,86,150,86
Lactuca_georgica,45.9956,39.5472,76,109,31,8206,256,-87,343,111,-32,177,-32,525,87,22,45,222,78,133,78
Lactuca_georgica,45.7422,39.6731,45,111,32,7919,223,-114,337,77,-58,143,-58,506,87,22,44,215,75,92,75
Lactuca_georgica,45.7828,39.685,56,110,32,8021,235,-104,339,89,-49,155,-49,506,86,21,44,215,74,92,74
Lactuca_georgica,45.6758,39.7197,46,111,32,7937,224,-113,337,77,-58,144,-58,505,87,22,44,214,74,93,74
Lactuca_georgica,44.7406,39.8172,128,129,31,9835,346,-70,416,126,245,249,-6,260,45,9,46,107,31,46,52
Lactuca_georgica,45.3622,39.8694,64,113,32,8161,247,-100,347,97,-43,165,-43,449,77,20,44,189,67,83,67
Lactuca_georgica,45.1982,40.1701,53,112,33,7747,228,-105,333,81,-48,149,-48,484,82,20,43,199,66,106,66
Lactuca_georgica,44.4174,41.3859,106,113,33,7987,279,-57,336,146,1,206,1,540,87,23,41,217,74,169,74
Lactuca_georgica,44.3179,41.3884,86,114,34,7746,256,-76,332,125,-17,182,-17,607,99,23,46,252,78,202,78
