Taxon,lon,lat,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Lactuca_orientalis,69.3451,30.3753,186,150,40,7804,360,-8,368,279,137,279,79,294,70,4,74,144,21,144,47
Lactuca_orientalis,68.63,30.38,177,161,43,7546,356,-14,370,133,182,268,74,230,38,3,60,81,13,79,57
Lactuca_orientalis,34.622017,30.483839,167,112,43,5316,300,42,258,95,230,230,95,158,34,0,98,97,0,0,97
Lactuca_orientalis,36.2384,30.5852,170,146,45,6515,332,9,323,80,246,246,80,82,15,0,91,45,0,0,45
Lactuca_orientalis,65.75,31,194,175,42,8559,406,-1,407,102,244,304,81,180,56,0,115,132,2,4,118
Lactuca_orientalis,35.18422,31.434904,180,121,46,5319,316,56,260,108,241,241,108,313,73,0,105,196,0,0,196
Lactuca_orientalis,35.325222,31.473629,202,129,47,5479,342,70,272,128,265,265,128,229,56,0,102,142,0,0,142
Lactuca_orientalis,35.31997,31.482653,202,129,47,5479,342,70,272,128,265,265,128,229,56,0,102,142,0,0,142
Lactuca_orientalis,35.293682,31.50432,197,128,47,5458,336,67,269,124,260,260,124,259,63,0,105,162,0,0,162
Lactuca_orientalis,78.4,31.67,34,105,36,6548,170,-117,287,109,-3,115,-53,768,104,17,42,282,97,238,198
Lactuca_orientalis,78.42,31.73,26,107,36,6711,167,-128,295,104,-11,110,-62,724,104,16,43,276,91,235,182
Lactuca_orientalis,78.47,31.77,62,105,37,6412,193,-88,281,-14,24,140,-25,730,97,18,39,269,101,168,213
Lactuca_orientalis,78.52,31.8,20,110,36,6891,166,-138,304,101,-19,107,-70,644,93,14,44,246,80,209,162
Lactuca_orientalis,67.25,32,119,162,36,9640,340,-107,447,5,239,239,-14,264,79,0,109,171,3,3,162
Lactuca_orientalis,78.08,32.23,40,108,35,6946,184,-119,303,-43,2,126,-53,629,81,15,38,220,80,156,170
Lactuca_orientalis,69.13,32.87,105,141,35,8981,293,-102,395,46,115,216,-18,333,60,4,67,163,21,46,127
Lactuca_orientalis,62.55,32.88,173,169,40,8830,390,-23,413,83,288,288,59,135,34,0,104,90,0,0,84
Lactuca_orientalis,62.5,33,171,168,40,8794,387,-24,411,82,286,286,57,141,35,0,107,93,0,0,86
Lactuca_orientalis,67.65,33.07,53,153,33,10057,273,-179,452,-12,176,176,-86,276,60,0,87,151,3,3,138
Lactuca_orientalis,66,33.25,111,171,38,9507,340,-104,444,-1,230,230,-18,235,57,0,99,147,0,0,128
Lactuca_orientalis,67.63,33.45,6,142,33,9460,213,-217,430,-57,112,122,-125,391,74,2,80,212,9,13,163
Lactuca_orientalis,68.4205,33.5517,97,150,35,9398,306,-115,421,40,205,214,-32,251,57,0,91,142,3,5,103
Lactuca_orientalis,69.58,33.58,72,125,33,8554,250,-121,371,13,84,178,-45,531,100,9,68,273,44,68,182
Lactuca_orientalis,69.37,33.7,88,134,33,9089,279,-118,397,27,152,200,-37,415,83,3,77,228,23,38,157
Lactuca_orientalis,70.33,33.75,179,127,37,7644,346,4,342,128,133,274,77,544,82,13,54,202,52,181,100
Lactuca_orientalis,78.53,33.78,-96,123,32,8825,97,-285,382,16,-187,18,-208,120,32,3,73,64,14,62,16
Lactuca_orientalis,69,33.83,101,147,33,9718,312,-127,439,45,211,223,-32,300,67,0,88,177,8,11,123
Lactuca_orientalis,69.82,33.95,81,118,33,8216,251,-104,355,23,93,183,-31,650,126,14,68,336,58,88,205
Lactuca_orientalis,67.18,34,36,157,33,10250,262,-203,465,-29,163,163,-105,282,60,0,86,162,3,3,116
Lactuca_orientalis,64.25,34.12,39,156,34,9901,264,-193,457,-101,144,157,-101,284,68,0,101,177,0,1,177
Lactuca_orientalis,75.97,34.13,1,87,23,10002,186,-185,371,-79,-36,121,-133,338,52,9,42,127,41,69,91
Lactuca_orientalis,77.58,34.17,34,132,33,8889,228,-161,389,141,-13,143,-86,102,17,3,46,42,12,35,25
Lactuca_orientalis,68,34.25,42,143,34,9147,243,-173,416,-17,144,154,-85,281,54,0,81,153,4,6,118
Lactuca_orientalis,76.78,34.27,25,110,28,9685,218,-171,389,-95,-18,142,-105,164,26,4,45,65,20,33,49
Lactuca_orientalis,70.08,34.28,166,127,36,7957,336,-11,347,112,175,267,61,538,104,15,65,265,51,107,123
Lactuca_orientalis,77.13,34.28,41,122,31,9314,235,-156,391,-72,-4,154,-85,131,19,3,43,51,16,30,41
Lactuca_orientalis,77.22,34.28,31,124,31,9220,226,-165,391,-80,-14,144,-93,117,15,3,40,40,15,31,33
Lactuca_orientalis,77.17,34.3,-2,118,30,9316,193,-196,389,111,-46,113,-126,97,13,3,36,37,14,30,23
Lactuca_orientalis,77.07,34.3,30,119,30,9432,225,-167,392,-85,-15,145,-97,124,17,3,40,45,15,30,36
Lactuca_orientalis,77.13,34.3,14,120,30,9348,209,-182,391,126,-31,128,-112,107,14,3,39,38,14,30,28
Lactuca_orientalis,66.6,34.33,20,161,34,9771,245,-224,469,-42,127,139,-116,317,74,0,85,180,2,4,113
Lactuca_orientalis,77.03,34.33,47,119,30,9532,241,-152,393,-69,1,163,-82,156,26,4,45,66,20,29,51
Lactuca_orientalis,76.76,34.38,60,114,28,10002,257,-144,401,-63,82,181,-76,202,41,5,62,98,24,27,72
Lactuca_orientalis,76.74,34.42,45,112,27,10046,243,-158,401,-79,68,167,-91,178,34,4,57,82,23,27,61
Lactuca_orientalis,76.8,34.42,7,111,28,9739,203,-190,393,-113,-37,125,-124,116,16,3,42,40,15,27,32
Lactuca_orientalis,75.77,34.43,17,80,20,10976,213,-175,388,-72,-23,147,-130,421,72,11,49,175,49,76,117
Lactuca_orientalis,76.81,34.43,7,111,28,9739,203,-190,393,-113,-37,125,-124,116,16,3,42,40,15,27,32
Lactuca_orientalis,76.82,34.44,7,111,28,9739,203,-190,393,-113,-37,125,-124,116,16,3,42,40,15,27,32
Lactuca_orientalis,68.78,34.45,70,137,34,8953,266,-134,400,15,172,180,-55,414,98,0,92,248,6,8,155
Lactuca_orientalis,76.67,34.48,39,111,27,10120,238,-164,402,-86,-6,161,-98,170,32,4,53,77,21,27,57
Lactuca_orientalis,62,34.5,149,153,39,8455,351,-36,387,59,260,260,41,272,61,0,103,170,0,0,148
Lactuca_orientalis,66.3,34.5,18,163,35,9239,239,-223,462,-39,119,130,-110,313,71,0,82,171,0,5,108
Lactuca_orientalis,69.42,34.5,109,134,34,8609,299,-87,386,52,173,216,-9,479,111,4,90,288,24,27,163
Lactuca_orientalis,72,34.5,211,142,38,7983,396,24,372,294,160,307,103,712,146,14,66,298,73,268,179
