Taxon,lon,lat,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Lactuca_quercina,-79.416664,0.15,249,83,79,681,304,200,104,258,242,258,241,2434,515,32,83,1311,127,1311,135
Lactuca_quercina,74.38,34.05,86,89,30,7682,232,-62,294,81,52,179,-18,1015,139,29,40,374,115,272,216
Lactuca_quercina,46.1686,39.0942,52,112,32,8163,237,-110,347,85,153,153,-55,478,84,22,49,206,72,72,76
Lactuca_quercina,46.4686,39.2294,121,101,29,8357,300,-39,339,161,222,226,12,423,73,20,44,177,65,91,71
Lactuca_quercina,45.7536,39.6681,56,110,32,8021,235,-104,339,89,-49,155,-49,506,86,21,44,215,74,92,74
Lactuca_quercina,45.7422,39.6731,45,111,32,7919,223,-114,337,77,-58,143,-58,506,87,22,44,215,75,92,75
Lactuca_quercina,45.366665,39.866665,64,113,32,8161,247,-100,347,97,-43,165,-43,449,77,20,44,189,67,83,67
Lactuca_quercina,44.76556,41.14833,110,113,33,7967,286,-50,336,150,5,210,5,511,86,19,46,215,65,163,65
Lactuca_quercina,48.28333,42.03333,115,84,24,8333,303,-34,337,130,14,223,12,398,52,24,24,134,82,83,90
Lactuca_quercina,24.21972,42.54694,84,96,31,7394,244,-60,304,159,140,177,-13,643,83,40,25,222,127,191,136
Lactuca_quercina,23.96083,42.88806,89,96,31,7581,250,-59,309,166,0,184,-11,654,85,40,26,230,127,199,133
Lactuca_quercina,14.5501,47.5162,32,88,31,6715,179,-98,277,117,-44,117,-55,1310,164,72,28,475,237,475,248
Lactuca_quercina,18.1167,47.6667,103,97,31,7650,268,-44,312,197,17,197,0,534,62,29,25,171,97,171,110
Lactuca_quercina,18.133,47.667,104,97,30,7667,268,-45,313,198,18,198,1,534,61,29,24,170,97,170,110
Lactuca_quercina,16.49583,48.04583,98,97,32,7282,260,-40,300,190,16,190,3,631,76,34,27,221,112,221,114
Lactuca_quercina,16.52972,48.06528,97,96,32,7277,259,-40,299,190,16,190,2,633,77,34,27,222,112,222,115
Lactuca_quercina,16.22667,48.10417,84,94,32,7129,242,-50,292,175,5,175,-9,701,87,37,29,251,123,251,125
