Taxon,lon,lat,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Lactuca_serriolaCAU,48.3167,38.0167,95,119,32,7982,300,-62,362,66,194,194,-7,326,42,10,36,115,37,37,105
Lactuca_serriolaCAU,48.283333,38.066666,95,119,32,8001,301,-63,364,66,193,193,-8,325,43,10,36,115,38,38,104
Lactuca_serriolaCAU,48.2667,38.0667,95,119,32,8001,301,-63,364,66,193,193,-8,325,43,10,36,115,38,38,104
Lactuca_serriolaCAU,48.2167,38.2667,95,115,31,7980,306,-61,367,66,193,193,-8,326,44,10,34,112,42,42,100
Lactuca_serriolaCAU,48.2333,38.2667,95,115,31,7980,306,-61,367,66,193,193,-8,326,44,10,34,112,42,42,100
Lactuca_serriolaCAU,48.2,38.4,97,114,31,7821,310,-57,367,71,194,194,-3,349,46,12,31,118,48,48,100
Lactuca_serriolaCAU,48.8667,38.45,149,70,25,7366,300,22,278,165,219,243,57,1211,239,26,61,582,100,141,272
Lactuca_serriolaCAU,47.0564,38.4707,106,113,31,8310,308,-55,363,89,208,210,-1,378,60,12,42,153,47,55,82
Lactuca_serriolaCAU,46.375,38.9275,134,107,30,8574,319,-32,351,126,236,241,20,329,58,11,46,137,41,53,66
Lactuca_serriolaCAU,46.3669,38.99,108,108,30,8514,294,-57,351,97,212,214,-4,423,72,17,45,176,58,82,75
Lactuca_serriolaCAU,48.3167,39.0167,124,105,26,7954,374,-23,397,136,228,228,26,534,80,16,34,191,79,79,121
Lactuca_serriolaCAU,46.2072,39.0231,88,111,31,8490,274,-78,352,125,192,193,-24,454,77,21,47,192,64,94,77
Lactuca_serriolaCAU,48.333,39.033,124,105,26,7954,374,-23,397,136,228,228,26,534,80,16,34,191,79,79,121
Lactuca_serriolaCAU,46.3989,39.0419,82,109,31,8287,267,-80,347,118,184,185,-26,480,82,23,47,204,71,103,78
Lactuca_serriolaCAU,46.4242,39.0514,97,107,30,8356,281,-65,346,135,199,201,-12,471,79,22,45,196,70,99,79
Lactuca_serriolaCAU,46.4964,39.0806,108,106,30,8388,292,-54,346,147,210,213,-2,444,75,20,44,184,65,91,76
Lactuca_serriolaCAU,46.4747,39.0961,113,104,30,8373,295,-49,344,152,214,217,3,440,75,20,45,183,65,91,75
Lactuca_serriolaCAU,46.4686,39.2294,121,101,29,8357,300,-39,339,161,222,226,12,423,73,20,44,177,65,91,71
Lactuca_serriolaCAU,48.483334,39.266666,138,88,26,8002,320,-8,328,107,240,240,36,504,73,8,42,187,49,49,146
Lactuca_serriolaCAU,48.4667,39.2667,138,88,26,8002,320,-8,328,107,240,240,36,504,73,8,42,187,49,49,146
Lactuca_serriolaCAU,46.4417,39.3392,98,103,30,8212,275,-61,336,135,-10,200,-10,563,91,25,44,234,88,135,88
Lactuca_serriolaCAU,48.8228,39.4172,147,89,27,8154,316,-2,318,168,250,250,41,382,56,8,42,138,38,38,101
Lactuca_serriolaCAU,46.3725,39.4206,107,102,30,8281,284,-53,337,146,-1,211,-1,524,86,23,44,219,81,127,81
Lactuca_serriolaCAU,46.3917,39.4322,118,99,29,8310,294,-41,335,158,9,223,9,461,79,21,45,195,71,109,71
Lactuca_serriolaCAU,45.9844,39.4708,79,109,31,8289,261,-84,345,116,-30,182,-30,512,85,22,45,217,78,126,78
Lactuca_serriolaCAU,46.0097,39.4953,83,109,31,8326,265,-81,346,120,-27,186,-27,524,86,23,45,221,80,130,80
Lactuca_serriolaCAU,46.1153,39.4992,78,108,31,8210,257,-84,341,113,-30,179,-30,538,89,23,45,228,81,134,81
Lactuca_serriolaCAU,45.9956,39.5472,76,109,31,8206,256,-87,343,111,-32,177,-32,525,87,22,45,222,78,133,78
Lactuca_serriolaCAU,46.0292,39.5506,77,108,31,8199,257,-85,342,112,-31,178,-31,533,88,22,44,225,79,136,79
Lactuca_serriolaCAU,45.5633,39.6939,91,113,31,8593,281,-79,360,129,-23,197,-23,423,72,19,45,180,64,106,64
Lactuca_serriolaCAU,45.5697,39.7033,91,113,31,8593,281,-79,360,129,-23,197,-23,423,72,19,45,180,64,106,64
Lactuca_serriolaCAU,45.4342,39.7064,97,115,31,8794,292,-77,369,137,-20,206,-20,388,66,18,45,165,61,95,61
Lactuca_serriolaCAU,45.2222,39.7303,104,118,31,9014,304,-75,379,146,213,215,-17,346,60,17,46,148,55,82,56
Lactuca_serriolaCAU,45.2928,39.7367,104,117,31,8976,303,-74,377,146,213,215,-16,352,61,17,46,152,55,84,56
Lactuca_serriolaCAU,44.8369,39.7431,127,127,30,9740,342,-68,410,176,243,247,-5,265,46,10,45,110,32,49,52
Lactuca_serriolaCAU,45.1103,39.8058,81,116,32,8514,271,-90,361,117,-33,186,-33,386,67,18,44,163,59,99,59
Lactuca_serriolaCAU,45.0558,39.8114,70,114,32,8337,257,-97,354,104,-40,173,-40,403,70,19,44,169,62,73,62
Lactuca_serriolaCAU,44.7406,39.8172,128,129,31,9835,346,-70,416,126,245,249,-6,260,45,9,46,107,31,46,52
Lactuca_serriolaCAU,45.3017,39.8333,95,115,31,8718,289,-78,367,135,-22,202,-22,382,66,17,46,164,58,97,58
Lactuca_serriolaCAU,45.3422,39.8661,64,113,32,8161,247,-100,347,97,-43,165,-43,449,77,20,44,189,67,83,67
Lactuca_serriolaCAU,45.409722,39.873056,48,112,32,7984,228,-113,341,79,-56,147,-56,479,82,21,44,201,71,90,71
Lactuca_serriolaCAU,44.5714,39.9294,127,129,31,9866,344,-71,415,125,244,248,-7,268,46,9,44,108,31,45,57
Lactuca_serriolaCAU,45.2667,40.0667,44,112,33,7753,220,-114,334,73,-57,141,-57,489,83,22,42,201,72,99,72
