Taxon,lon,lat,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Lactuca_sibirica,144.246,44.0667,57,75,21,9327,225,-119,344,174,-24,174,-65,862,114,39,30,308,148,308,151
Lactuca_sibirica,18.0385,59.3732,70,64,23,7303,222,-49,271,156,9,168,-19,529,67,25,30,185,83,176,112
Lactuca_sibirica,18.0383,59.3734,70,64,23,7303,222,-49,271,156,9,168,-19,529,67,25,30,185,83,176,112
Lactuca_sibirica,18.0297,59.3735,70,64,23,7303,222,-49,271,156,9,168,-19,529,67,25,30,185,83,176,112
Lactuca_sibirica,30.0994,59.9917,49,69,21,8907,222,-101,323,149,-20,165,-64,644,80,30,31,228,100,217,119
Lactuca_sibirica,23.67525,60.05527,51,72,23,7938,213,-90,303,143,-16,156,-47,608,74,28,32,211,92,192,122
Lactuca_sibirica,23.74339,60.22791,49,74,24,7968,213,-93,306,141,-17,154,-50,609,76,28,32,214,92,196,121
Lactuca_sibirica,23.73848,60.23183,49,74,24,7968,213,-93,306,141,-17,154,-50,609,76,28,32,214,92,196,121
Lactuca_sibirica,23.8373,60.23889,49,73,23,7986,212,-93,305,141,-18,154,-50,609,76,28,32,214,92,196,121
Lactuca_sibirica,23.44833,60.24234,50,74,24,7948,214,-92,306,141,-17,155,-49,607,75,29,32,211,93,193,122
Lactuca_sibirica,23.89676,60.65777,42,78,24,8146,212,-104,316,135,-25,150,-59,613,79,29,32,219,93,205,119
Lactuca_sibirica,26.76664,60.89098,42,73,22,8742,215,-110,325,139,-27,156,-69,626,81,31,30,217,102,195,122
Lactuca_sibirica,25.98359,60.90095,40,73,22,8630,212,-111,323,137,-28,154,-69,640,82,32,30,221,104,201,127
Lactuca_sibirica,27.64178,60.90325,42,72,22,8836,217,-110,327,99,-27,158,-70,633,82,31,31,219,102,197,126
Lactuca_sibirica,26.72061,60.90433,41,73,22,8743,215,-111,326,139,-27,156,-70,626,81,31,30,217,102,195,122
Lactuca_sibirica,28.05081,61.04191,40,73,22,8920,217,-112,329,98,-29,157,-73,643,83,33,30,220,105,200,133
Lactuca_sibirica,26.63853,61.06256,40,73,22,8762,214,-113,327,138,-28,155,-71,629,82,31,30,218,102,198,124
Lactuca_sibirica,28.71656,61.06561,41,73,22,8948,219,-111,330,100,-28,159,-72,673,83,34,29,228,110,204,140
Lactuca_sibirica,25.23706,61.07259,37,75,23,8522,209,-114,323,133,-31,150,-70,651,83,33,30,226,105,209,131
Lactuca_sibirica,28.75691,61.07269,41,73,22,8932,219,-111,330,100,-27,159,-71,673,83,34,29,228,110,204,140
Lactuca_sibirica,28.76629,61.07709,41,73,22,8932,219,-111,330,100,-27,159,-71,673,83,34,29,228,110,204,140
Lactuca_sibirica,28.20118,61.07892,40,73,22,8873,217,-110,327,140,-28,157,-71,648,83,34,29,221,106,201,136
Lactuca_sibirica,25.32077,61.08132,38,75,23,8538,210,-113,323,134,-30,150,-70,652,83,33,29,225,106,208,132
Lactuca_sibirica,28.31161,61.08271,41,73,22,8867,218,-110,328,99,-28,157,-71,654,83,34,30,223,107,201,137
Lactuca_sibirica,28.24768,61.08287,40,73,22,8872,217,-110,327,98,-28,157,-71,651,83,34,30,222,107,201,136
Lactuca_sibirica,26.71902,61.08381,40,73,22,8787,214,-113,327,138,-28,155,-72,629,82,31,30,218,102,198,124
Lactuca_sibirica,28.7024,61.11246,40,73,22,8947,218,-112,330,99,-29,158,-73,670,83,34,30,226,110,204,140
Lactuca_sibirica,28.82599,61.1324,39,73,22,8976,217,-113,330,141,-30,158,-74,673,83,34,29,226,111,206,140
Lactuca_sibirica,24.11871,61.14316,39,83,25,8472,215,-117,332,134,-29,150,-69,600,79,29,32,216,92,205,114
Lactuca_sibirica,24.79569,61.15592,38,78,23,8487,212,-114,326,134,-30,150,-69,631,81,32,31,222,100,207,126
Lactuca_sibirica,24.08953,61.15603,39,83,25,8472,215,-117,332,134,-29,150,-69,600,79,29,32,216,92,205,114
Lactuca_sibirica,28.94739,61.15999,38,73,21,8985,217,-115,332,97,-31,157,-75,678,84,34,29,229,111,208,140
Lactuca_sibirica,25.4457,61.16046,40,75,23,8571,212,-113,325,136,-28,152,-69,642,82,33,30,222,104,205,130
Lactuca_sibirica,28.5762,61.16467,38,73,22,8935,217,-113,330,139,-30,156,-74,671,84,35,29,226,111,206,141
Lactuca_sibirica,28.39048,61.16671,40,73,22,8935,218,-112,330,97,-29,158,-73,655,83,34,30,223,107,202,137
Lactuca_sibirica,25.97494,61.17012,39,75,22,8667,213,-115,328,136,-29,153,-71,644,83,33,29,223,105,206,130
Lactuca_sibirica,28.01883,61.17016,39,73,22,8936,217,-113,330,140,-30,157,-74,641,83,33,30,219,105,200,133
Lactuca_sibirica,28.69847,61.19464,38,73,22,8968,217,-114,331,139,-31,156,-75,674,84,35,29,227,111,207,141
Lactuca_sibirica,28.8105,61.20217,38,73,22,8973,217,-114,331,140,-30,157,-75,673,84,34,29,227,111,207,139
Lactuca_sibirica,28.76675,61.25223,37,73,21,8983,216,-116,332,139,-32,155,-77,676,84,35,28,227,112,208,141
Lactuca_sibirica,25.97202,61.25984,38,75,22,8688,213,-116,329,136,-30,153,-72,644,83,33,29,223,105,206,130
Lactuca_sibirica,28.17446,61.28232,40,73,22,8966,218,-113,331,141,-29,158,-74,644,83,34,30,220,106,201,135
Lactuca_sibirica,28.21003,61.30306,38,73,22,8950,217,-114,331,139,-31,156,-75,647,83,34,30,220,106,202,136
Lactuca_sibirica,25.8546,61.33461,38,76,23,8715,213,-116,329,136,-30,153,-73,646,83,33,29,223,105,208,130
Lactuca_sibirica,25.78229,61.34786,38,76,23,8710,213,-116,329,135,-30,153,-73,647,83,33,29,224,105,209,130
Lactuca_sibirica,30.949635,61.370823,31,75,21,9245,213,-134,347,137,-43,151,-88,612,78,29,31,214,94,196,118
Lactuca_sibirica,25.7788,61.43758,39,76,23,8724,214,-115,329,137,-29,154,-72,642,83,33,29,223,105,208,129
Lactuca_sibirica,23.59014,61.47671,37,82,24,8726,213,-123,336,134,-34,150,-75,576,76,26,32,208,87,201,106
Lactuca_sibirica,23.5704,61.4852,37,82,24,8752,212,-125,337,134,-35,150,-76,581,77,26,33,211,87,204,107
Lactuca_sibirica,23.52322,61.48846,36,83,24,8760,212,-125,337,133,-35,150,-76,587,77,26,33,212,88,206,109
Lactuca_sibirica,23.71066,61.49327,38,82,24,8575,214,-120,334,134,-31,150,-71,574,77,27,33,209,88,200,106
Lactuca_sibirica,105.319,61.524,-81,134,21,17080,232,-383,615,134,-265,134,-305,373,57,12,46,158,42,158,51
Lactuca_sibirica,27.27889,61.53251,38,73,22,8920,215,-115,330,139,-31,156,-75,634,83,33,30,219,104,202,129
Lactuca_sibirica,27.26948,61.54602,38,73,22,8920,215,-115,330,139,-31,156,-75,632,83,33,30,218,103,202,129
Lactuca_sibirica,29.11401,61.56583,33,74,21,9091,214,-123,337,136,-37,153,-82,664,83,34,29,225,109,210,136
Lactuca_sibirica,27.30762,61.59978,38,73,22,8955,215,-116,331,139,-31,156,-76,632,83,33,30,218,103,202,129
Lactuca_sibirica,29.16396,61.60541,33,74,21,9098,214,-124,338,136,-37,153,-82,661,83,34,29,225,108,210,134
Lactuca_sibirica,28.03367,61.61863,35,73,21,9013,214,-118,332,137,-34,154,-79,647,84,34,29,221,107,206,134
Lactuca_sibirica,27.65671,61.62096,37,73,21,8967,215,-117,332,138,-32,155,-77,641,83,34,29,220,105,204,132
Lactuca_sibirica,27.2797,61.62224,38,73,22,8936,215,-116,331,139,-31,156,-75,633,83,33,29,218,103,202,129
Lactuca_sibirica,23.13842,61.63536,34,84,25,8553,210,-124,334,130,-34,146,-75,605,79,27,31,216,93,209,115
Lactuca_sibirica,27.13832,61.6539,36,73,21,8930,214,-118,332,137,-33,154,-77,638,83,33,29,220,105,204,129
Lactuca_sibirica,28.87493,61.65908,34,74,22,9079,214,-122,336,137,-36,154,-81,658,84,34,29,224,108,209,135
Lactuca_sibirica,27.28481,61.68015,36,73,21,8935,214,-118,332,137,-33,154,-77,636,83,33,29,219,105,204,129
Lactuca_sibirica,24.44605,61.68845,33,83,24,8569,212,-124,336,129,-34,146,-76,603,80,29,31,217,93,206,116
Lactuca_sibirica,29.35886,61.69209,31,74,21,9160,213,-128,341,135,-40,152,-85,656,83,33,29,225,107,210,132
Lactuca_sibirica,30.666668,61.7,28,76,21,9302,212,-139,351,93,-47,148,-92,606,76,29,31,211,93,191,119
Lactuca_sibirica,27.8568,61.7051,37,73,21,9018,215,-117,332,138,-32,156,-78,640,83,34,29,220,105,204,132
Lactuca_sibirica,27.84765,61.70964,36,72,21,9015,215,-118,333,138,-33,155,-78,639,83,34,29,220,105,204,132
Lactuca_sibirica,27.28041,61.71211,35,73,21,8967,213,-119,332,136,-34,153,-79,641,84,33,29,221,105,207,130
Lactuca_sibirica,27.83843,61.72319,36,72,21,9015,215,-118,333,138,-33,155,-78,639,83,34,29,220,105,204,132
Lactuca_sibirica,29.87261,61.72708,29,75,21,9217,212,-133,345,134,-43,150,-89,641,82,32,30,222,102,208,127
Lactuca_sibirica,28.59564,61.73443,35,74,22,9087,215,-121,336,137,-35,155,-81,651,83,34,29,222,107,207,134
Lactuca_sibirica,29.36573,61.78175,32,75,21,9172,214,-127,341,136,-39,153,-84,645,82,32,30,222,104,208,129
Lactuca_sibirica,29.17638,61.78488,32,75,22,9165,214,-126,340,136,-39,153,-84,650,83,33,29,224,105,210,131
Lactuca_sibirica,25.22463,61.78606,35,78,23,8658,213,-119,332,132,-32,149,-75,634,83,32,30,223,102,212,126
Lactuca_sibirica,28.98717,61.78762,33,74,21,9114,214,-125,339,136,-38,153,-83,652,83,33,29,224,106,210,132
Lactuca_sibirica,28.60811,61.79271,35,73,21,9120,215,-122,337,137,-35,155,-81,649,83,34,28,222,107,208,133
Lactuca_sibirica,28.41862,61.7948,35,73,21,9111,215,-121,336,137,-35,155,-81,648,83,34,28,222,107,207,133
Lactuca_sibirica,29.3726,61.8713,32,75,21,9222,215,-129,344,136,-40,153,-86,642,82,32,30,221,103,208,128
Lactuca_sibirica,28.88808,61.87433,33,74,21,9135,215,-124,339,136,-37,154,-83,646,83,33,29,222,105,208,131
Lactuca_sibirica,28.83109,61.8751,34,74,21,9139,215,-124,339,136,-37,154,-83,643,83,33,30,222,104,208,130
Lactuca_sibirica,28.99281,61.87742,31,74,21,9163,213,-127,340,135,-39,152,-85,650,83,33,29,223,106,210,131
Lactuca_sibirica,28.80283,61.88005,34,74,21,9139,215,-124,339,136,-37,154,-83,643,83,33,30,222,104,208,130
Lactuca_sibirica,28.85225,61.91072,34,74,21,9144,215,-124,339,137,-37,154,-83,643,83,33,30,222,104,208,130
Lactuca_sibirica,28.64543,61.95822,33,74,21,9121,214,-124,338,135,-38,153,-83,652,84,34,29,224,107,211,133
Lactuca_sibirica,28.80812,61.96973,32,74,21,9172,214,-126,340,135,-39,153,-85,646,83,33,30,223,105,210,130
Lactuca_sibirica,28.61771,61.97197,33,74,21,9148,214,-124,338,136,-37,154,-83,642,83,33,29,221,104,208,131
Lactuca_sibirica,29.29631,61.9938,31,75,21,9249,215,-130,345,136,-40,153,-87,639,82,32,30,221,103,209,126
Lactuca_sibirica,29.89219,62.03646,27,76,21,9315,211,-138,349,133,-46,149,-92,632,82,31,31,221,100,209,122
