Taxon,lon,lat,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Lactuca_tatarica,-91.06396,29.899078,200,114,41,5944,327,54,273,268,163,271,120,1589,190,89,19,500,329,499,391
Lactuca_tatarica,-109.217,31.8833,123,170,49,6300,301,-40,341,196,156,204,43,526,113,8,69,266,43,231,118
Lactuca_tatarica,-109.73695,31.890821,162,177,49,6774,345,-10,355,243,197,250,78,336,81,5,82,192,24,168,64
Lactuca_tatarica,-111.81482,32.10396,182,160,47,6816,358,18,340,266,211,271,99,395,78,6,67,191,23,155,102
Lactuca_tatarica,77.05,32.55,54,96,33,6917,189,-101,290,5,22,137,-40,706,113,19,46,274,81,130,189
Lactuca_tatarica,-105.72612,32.622623,111,149,46,6393,275,-46,321,184,104,194,30,440,88,10,68,232,48,212,71
Lactuca_tatarica,78.38,32.74,-48,121,34,8091,129,-226,355,53,-91,56,-152,247,49,6,56,114,30,100,49
Lactuca_tatarica,78.38,32.77,-33,123,34,8091,145,-212,357,67,-77,71,-137,243,45,6,50,106,31,92,52
Lactuca_tatarica,78.32,32.78,-15,122,34,7995,160,-193,353,83,-59,86,-119,264,42,7,42,103,34,87,62
Lactuca_tatarica,78.3,32.81,-8,123,34,8010,167,-186,353,90,-52,94,-112,258,39,7,41,97,33,81,63
Lactuca_tatarica,78.37,32.86,-12,124,34,8066,165,-192,357,87,-57,90,-117,242,38,7,41,93,32,79,58
Lactuca_tatarica,78.28,32.88,-26,122,34,8114,152,-205,357,75,-69,78,-130,233,39,6,44,94,30,80,53
Lactuca_tatarica,78.36,32.9,-10,125,34,8114,168,-190,358,90,-55,94,-115,234,36,7,41,88,31,74,56
Lactuca_tatarica,-108.2125,32.9022,98,181,50,6625,283,-72,355,178,130,186,16,485,99,11,69,253,45,219,97
Lactuca_tatarica,78.36,32.93,-20,125,34,8157,160,-201,361,81,-65,84,-126,218,36,6,43,87,28,74,50
Lactuca_tatarica,-107.7863,33.042,94,182,50,6613,278,-80,358,172,83,181,11,455,96,10,75,253,43,214,76
Lactuca_tatarica,77.92,33.05,-39,117,32,8198,139,-217,356,62,-80,65,-145,215,37,6,46,89,28,76,46
Lactuca_tatarica,77.22,33.11,-9,107,31,8022,157,-182,339,-108,-46,90,-116,286,36,8,37,94,37,72,73
Lactuca_tatarica,77.72,33.18,-15,117,33,8195,160,-193,353,85,-56,88,-123,216,29,6,36,76,28,62,52
Lactuca_tatarica,77.63,33.22,-9,116,32,8198,166,-187,353,91,-50,93,-117,218,27,7,35,73,30,58,55
Lactuca_tatarica,77.15,33.24,10,108,31,8117,177,-164,341,-90,-27,109,-98,295,42,9,40,106,37,62,79
Lactuca_tatarica,66,33.25,111,171,38,9507,340,-104,444,-1,230,230,-18,235,57,0,99,147,0,0,128
Lactuca_tatarica,78.42,33.25,-39,127,34,8458,148,-225,373,67,-85,70,-148,158,32,4,52,71,20,63,31
Lactuca_tatarica,77.2,33.31,-28,107,30,8286,144,-203,347,73,-66,75,-137,217,27,7,34,74,30,59,53
Lactuca_tatarica,77.99,33.35,-12,123,33,8373,170,-196,366,90,-56,93,-122,172,26,5,38,64,23,53,41
Lactuca_tatarica,-108.6466,33.40201,61,184,51,6324,245,-109,354,139,88,144,-17,580,109,15,62,285,56,242,121
Lactuca_tatarica,76.8,33.53,19,104,29,8555,190,-159,349,-88,-18,122,-96,300,46,9,42,115,37,57,85
Lactuca_tatarica,77.82,33.56,-24,121,32,8573,161,-210,371,81,-68,83,-137,139,23,4,41,55,19,46,31
Lactuca_tatarica,76.83,33.58,-16,103,29,8639,158,-194,352,-124,-53,89,-131,202,26,6,37,67,27,47,52
Lactuca_tatarica,77.82,33.58,-24,121,32,8573,161,-210,371,81,-68,83,-137,139,23,4,41,55,19,46,31
Lactuca_tatarica,77.48,33.62,-9,118,32,8535,172,-193,365,94,-51,97,-122,153,20,5,36,53,21,42,38
Lactuca_tatarica,78.01,33.64,16,129,34,8454,202,-173,375,118,-30,122,-96,146,19,4,36,49,19,39,38
Lactuca_tatarica,78.02,33.65,16,129,34,8454,202,-173,375,118,-30,122,-96,146,19,4,36,49,19,39,38
