Taxon,lon,lat,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Lactuca_viminea,-17.1,28.1,202,68,46,2599,285,138,147,182,230,238,172,292,64,0,88,167,2,6,114
Lactuca_viminea,-7.45,30.3695,153,168,44,6891,358,-22,380,76,244,244,67,372,62,1,65,167,10,10,152
Lactuca_viminea,-7.50602,30.41538,141,167,44,6832,344,-33,377,65,231,231,55,405,64,2,63,175,14,14,160
Lactuca_viminea,-7.50074,30.41983,140,166,44,6841,344,-33,377,64,230,230,55,413,65,2,63,178,14,14,163
Lactuca_viminea,-7.51635,30.42001,140,166,44,6841,344,-33,377,64,230,230,55,413,65,2,63,178,14,14,163
Lactuca_viminea,-7.5859556,30.70779,79,162,43,6899,288,-87,375,5,171,172,-4,607,80,9,51,232,40,50,215
Lactuca_viminea,-7.4182,30.765625,140,167,44,6725,343,-31,374,65,228,228,56,434,66,2,60,180,15,15,167
Lactuca_viminea,-7.6341186,30.775333,90,162,43,6774,296,-75,371,17,180,181,8,585,79,7,53,226,35,44,209
Lactuca_viminea,-7.4751277,30.778591,130,166,44,6726,334,-40,374,56,219,219,47,463,68,3,59,188,19,19,174
Lactuca_viminea,-7.633947,30.778702,90,162,43,6774,296,-75,371,17,180,181,8,585,79,7,53,226,35,44,209
Lactuca_viminea,-7.610869,30.787178,100,163,43,6746,305,-66,371,26,189,190,18,551,76,6,55,216,30,38,200
Lactuca_viminea,-7.476941,30.793407,123,166,44,6732,328,-45,373,50,213,213,41,482,70,3,58,194,21,21,180
Lactuca_viminea,-7.587813,30.793713,109,163,44,6686,313,-57,370,36,198,199,28,533,74,5,56,210,27,34,195
Lactuca_viminea,-7.4768443,30.794008,123,166,44,6732,328,-45,373,50,213,213,41,482,70,3,58,194,21,21,180
Lactuca_viminea,-7.539383,30.801369,125,165,44,6687,328,-43,371,52,214,214,43,483,70,3,58,194,21,28,180
Lactuca_viminea,-7.589229,30.80397,109,163,44,6686,313,-57,370,36,198,199,28,533,74,5,56,210,27,34,195
Lactuca_viminea,-7.5825667,30.80838,122,165,44,6660,325,-46,371,49,210,210,40,497,71,3,57,198,22,29,185
Lactuca_viminea,-7.582261,30.808472,122,165,44,6660,325,-46,371,49,210,210,40,497,71,3,57,198,22,29,185
Lactuca_viminea,-7.582674,30.809416,122,165,44,6660,325,-46,371,49,210,210,40,497,71,3,57,198,22,29,185
